Error: 06/06/2016 [12:03:44] - //proc/1183/task/1183/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1183/task/1183/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1183/task/1185/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1183/task/1185/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1183/task/1185/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1183/task/1186/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1183/task/1186/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1183/task/1186/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/12/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/12/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/12/map_files: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/12/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/12/task/12/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/12/task/12/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/12/task/12/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1291/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1291/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1291/map_files: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1291/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1291/task/1291/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1291/task/1291/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1291/task/1291/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/13/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/13/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/13/map_files: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/13/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/13/task/13/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/13/task/13/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/13/task/13/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1306/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1306/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1306/map_files: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1306/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1306/task/1306/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1306/task/1306/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1306/task/1306/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1355/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1355/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1355/map_files: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1355/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1355/task/1355/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1355/task/1355/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1355/task/1355/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1360/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1360/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1360/map_files: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1360/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1360/task/1360/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1360/task/1360/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1360/task/1360/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1360/task/1361/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1360/task/1361/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1360/task/1361/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1360/task/1478/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1360/task/1478/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1360/task/1478/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/14/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/14/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/14/map_files: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/14/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/14/task/14/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/14/task/14/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/14/task/14/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/15/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/15/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/15/map_files: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/15/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/15/task/15/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/15/task/15/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/15/task/15/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/17/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/17/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/17/map_files: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/17/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/17/task/17/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/17/task/17/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/17/task/17/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/171/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/171/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/171/map_files: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/171/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/171/task/171/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/171/task/171/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/171/task/171/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/172/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/172/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/172/map_files: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/172/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/172/task/172/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/172/task/172/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/172/task/172/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/map_files: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1721/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1721/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1721/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1727/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1727/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1727/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1729/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1729/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1729/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1730/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1730/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1730/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1732/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1732/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/1721/task/1732/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/173/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/173/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/173/map_files: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/173/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/173/task/173/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/173/task/173/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/173/task/173/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/174/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/174/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/174/map_files: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/174/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/174/task/174/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/174/task/174/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/174/task/174/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/175/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/175/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/175/map_files: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/175/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/175/task/175/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/175/task/175/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/175/task/175/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/176/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/176/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/176/map_files: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/176/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/176/task/176/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/176/task/176/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/176/task/176/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/177/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/177/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/177/map_files: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/177/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/177/task/177/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/177/task/177/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/177/task/177/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/178/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/178/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/178/map_files: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/178/ns: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/178/task/178/fd: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/178/task/178/fdinfo: Permission denied
Error: 06/06/2016 [12:03:45] - //proc/178/task/178/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/179/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/179/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/179/map_files: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/179/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/179/task/179/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/179/task/179/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/179/task/179/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/18/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/18/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/18/map_files: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/18/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/18/task/18/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/18/task/18/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/18/task/18/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/180/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/180/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/180/map_files: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/180/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/180/task/180/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/180/task/180/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/180/task/180/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/181/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/181/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/181/map_files: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/181/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/181/task/181/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/181/task/181/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/181/task/181/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/182/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/182/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/182/map_files: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/182/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/182/task/182/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/182/task/182/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/182/task/182/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/188/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/188/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/188/map_files: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/188/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/188/task/188/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/188/task/188/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/188/task/188/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/19/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/19/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/19/map_files: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/19/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/19/task/19/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/19/task/19/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/19/task/19/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/1932/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/1932/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/1932/map_files: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/1932/ns: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/1932/task/1932/fd: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/1932/task/1932/fdinfo: Permission denied
Error: 06/06/2016 [12:03:46] - //proc/1932/task/1932/ns: Permission denied
Error: 06/06/2016 [12:04:07] - /./boot/efi: Permission denied
Error: 06/06/2016 [12:04:07] - /./etc/cups/ssl: Permission denied
Error: 06/06/2016 [12:04:07] - /./etc/polkit-1/localauthority: Permission denied
Error: 06/06/2016 [12:04:07] - /./etc/ssl/private: Permission denied
Error: 06/06/2016 [12:04:09] - //boot/efi: Permission denied
Error: 06/06/2016 [12:04:09] - //etc/cups/ssl: Permission denied
Error: 06/06/2016 [12:04:09] - //etc/polkit-1/localauthority: Permission denied
Error: 06/06/2016 [12:04:09] - //etc/ssl/private: Permission denied
Error: 06/06/2016 [12:04:10] - //lost+found: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1/map_files: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1/task/1/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1/task/1/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1/task/1/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10/map_files: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10/task/10/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10/task/10/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10/task/10/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10659/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10659/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10659/map_files: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10659/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10659/task/10659/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10659/task/10659/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/10659/task/10659/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/11/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/11/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/11/map_files: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/11/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/11/task/11/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/11/task/11/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/11/task/11/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1108/fd: Permission denied
